Time,CPU Percent,Memory Used (MB),Memory Percent,Absolute CPU (s)
18:41:54,9.9,50.28125,0.6398584278431869,0.1700000000000017
18:41:55,9.9,50.28125,0.6398584278431869,0.11999999999999744
18:41:56,9.9,50.28125,0.6398584278431869,0.14000000000000057
18:41:57,9.9,50.28125,0.6398584278431869,0.14000000000000057
18:41:58,9.9,50.28125,0.6398584278431869,0.12999999999999545
18:41:59,0.0,50.28125,0.6398584278431869,0.12000000000000455
18:42:00,9.9,50.28125,0.6398584278431869,0.12999999999999545
18:42:01,9.9,50.28125,0.6398584278431869,0.12000000000000455
18:42:02,9.9,50.28125,0.6398584278431869,0.13000000000000256
18:42:03,0.0,50.28125,0.6398584278431869,0.12999999999999545
18:42:04,9.9,50.28125,0.6398584278431869,0.13000000000000256
18:42:05,9.9,50.28125,0.6398584278431869,0.12999999999999545
