Time (HH:MM:SS.mmm),Desired Left,Desired Right,Measured Left,Measured Right
18:40:46.759,10.342325878994805,19.41331755689212,10.242661678460909,19.04084542790842
18:40:46.765,10.222187025206427,19.533456410680497,10.242661678460909,19.04084542790842
18:40:46.808,10.102048171418053,19.653595264468873,11.03609795291078,20.49561048397716
18:40:46.810,9.981909317629677,19.77373411825725,11.03609795291078,20.49561048397716
18:40:46.811,9.741632020899226,20.0140114149877,11.03609795291078,20.49561048397716
18:40:46.812,9.261076605745723,20.494566830141203,11.03609795291078,20.49561048397716
18:40:46.812,9.020799309015272,20.734844126871653,11.03609795291078,20.49561048397716
18:40:46.813,8.900660455226898,20.85498298066003,11.03609795291078,20.49561048397716
18:40:46.814,8.780521601438522,20.975121834448405,11.03609795291078,20.49561048397716
18:40:46.828,8.660382747650146,21.09526068823678,11.03609795291078,20.49561048397716
18:40:46.830,8.540244304708072,21.215399131178856,11.03609795291078,20.49561048397716
18:40:46.838,8.29996659713132,21.455676838755608,10.928657728359132,20.803950856394493
18:40:46.840,8.179827743342944,21.575815692543983,10.928657728359132,20.803950856394493
18:40:46.841,8.059688889554568,21.69595454633236,10.928657728359132,20.803950856394493
18:40:46.848,7.819411592824118,21.936231843062806,10.928657728359132,20.803950856394493
18:40:46.853,7.6992727390357425,22.056370696851182,10.928657728359132,20.803950856394493
18:40:46.866,7.579133885247366,22.176509550639558,10.928657728359132,20.803950856394493
18:40:46.868,7.579133885247366,22.176509550639558,10.928657728359132,20.803950856394493
18:40:46.872,7.45899503145899,22.296648404427934,10.738432356986705,20.29825628454814
18:40:46.873,7.45899503145899,22.296648404427934,10.738432356986705,20.29825628454814
18:40:46.874,7.338856177670614,22.41678725821631,10.738432356986705,20.29825628454814
18:40:46.875,7.218717323882238,22.536926112004686,10.738432356986705,20.29825628454814
18:40:46.879,7.098578470093862,22.65706496579306,10.738432356986705,20.29825628454814
18:40:46.881,6.978440437998089,22.777202997888836,10.738432356986705,20.29825628454814
18:40:46.890,6.8583015842097135,22.89734185167721,10.738432356986705,20.29825628454814
18:40:46.925,6.738162730421338,23.017480705465587,10.240736732338004,19.82501598183372
18:40:46.968,6.8583015842097135,22.89734185167721,8.789931343126904,20.859687814286126
18:40:46.975,6.738162730421338,23.017480705465587,8.789931343126904,20.859687814286126
18:40:47.032,6.738162730421338,23.017480705465587,7.3472486367616785,21.91054504177132
18:40:47.034,6.8583015842097135,22.89734185167721,7.3472486367616785,21.91054504177132
18:40:47.054,6.738162730421338,23.017480705465587,7.3472486367616785,21.91054504177132
18:40:47.056,6.8583015842097135,22.89734185167721,7.3472486367616785,21.91054504177132
18:40:47.072,6.609309141124996,22.648349408592495,6.967964006394065,22.350073228056438
18:40:47.076,6.8583015842097135,22.89734185167721,6.967964006394065,22.350073228056438
18:40:47.097,6.609309141124996,22.648349408592495,6.829547326124166,23.115390949958716
18:40:47.099,6.729447994913372,22.52821055480412,6.829547326124166,23.115390949958716
18:40:47.100,7.210002588374272,22.047655961343217,6.829547326124166,23.115390949958716
18:40:47.101,7.570419149739401,21.68723939997809,6.829547326124166,23.115390949958716
18:40:47.102,7.930835300258226,21.326823249459263,6.829547326124166,23.115390949958716
18:40:47.103,8.411390304565428,20.846268245152064,6.829547326124166,23.115390949958716
18:40:47.107,8.65166801214218,20.605990537575313,6.829547326124166,23.115390949958716
18:40:47.110,9.372500724026132,19.88515782569136,6.829547326124166,23.115390949958716
18:40:47.112,9.732916874544959,19.524741675172532,6.829547326124166,23.115390949958716
18:40:47.125,10.453749586428913,18.803908963288578,6.856252636891886,23.205778155633855
18:40:48.702,14.916314195375886,15.337314126680472,0.0,0.0
18:40:48.705,14.667321752291171,15.088321683595755,0.0,0.0
18:40:48.706,14.916314195375886,15.337314126680472,0.0,0.0
18:40:48.707,15.165306638460603,15.586306569765188,0.0,0.0
18:40:48.708,15.663291524630036,16.084291455934622,0.0,0.0
18:40:48.709,15.663291524630036,16.084291455934622,0.0,0.0
18:40:48.709,15.663291524630036,16.084291455934622,0.0,0.0
18:40:48.710,15.912283967714755,16.33328389901934,0.0,0.0
18:40:48.711,16.16127470780962,16.582274639114203,0.0,0.0
18:40:48.712,16.65925959397905,17.080259525283637,0.0,0.0
18:40:48.712,17.157244480148485,17.57824441145307,0.0,0.0
18:40:48.713,17.655229366317922,18.076229297622508,0.0,0.0
18:40:48.713,18.40220669557207,18.823206626876654,0.0,0.0
18:40:48.733,18.900189878751654,19.32118981005624,0.0,0.0
18:40:48.735,19.398174764921087,19.819174696225673,0.0,0.0
18:40:48.737,19.647167208005804,20.06816713931039,0.0,0.0
18:40:48.738,19.89615965109052,20.317159582395107,0.0,0.0
18:40:48.739,20.145152094175238,20.566152025479823,0.0,0.0
18:40:48.740,20.394144537259955,20.81514446856454,0.0,0.0
18:40:48.792,20.394144537259955,20.81514446856454,3.536636465215825,3.4056499294670908
18:40:48.834,20.64313698034467,21.064136911649257,8.412688603574116,7.755447306419777
18:40:49.219,27.614920277747185,28.03592020905177,20.587266270049167,21.24291169266253
18:40:49.220,22.13708993586312,22.558089867167705,20.587266270049167,21.24291169266253
18:40:49.220,21.639105049693686,22.060104980998272,20.587266270049167,21.24291169266253
18:40:49.221,21.141121866514105,21.56212179781869,20.587266270049167,21.24291169266253
18:40:49.222,21.141121866514105,21.56212179781869,20.587266270049167,21.24291169266253
18:40:49.223,20.394144537259955,20.81514446856454,20.587266270049167,21.24291169266253
18:40:49.223,20.145152094175238,20.566152025479823,20.587266270049167,21.24291169266253
18:40:49.224,19.647167208005804,20.06816713931039,20.587266270049167,21.24291169266253
18:40:49.225,19.14918232183637,19.570182253140956,20.587266270049167,21.24291169266253
18:40:49.225,18.900189878751654,19.32118981005624,20.587266270049167,21.24291169266253
18:40:49.226,18.900189878751654,19.32118981005624,20.587266270049167,21.24291169266253
18:40:49.610,18.40220669557207,18.823206626876654,18.90869740485089,19.56524939807477
18:40:49.611,18.153214252487356,18.57421418379194,18.90869740485089,19.56524939807477
18:40:49.622,18.40220669557207,18.823206626876654,18.90869740485089,19.56524939807477
18:40:49.623,18.153214252487356,18.57421418379194,18.90869740485089,19.56524939807477
18:40:49.625,18.40220669557207,18.823206626876654,18.91215761591794,19.43749532747122
18:40:49.626,18.153214252487356,18.57421418379194,18.91215761591794,19.43749532747122
18:40:49.627,18.40220669557207,18.823206626876654,18.91215761591794,19.43749532747122
18:40:49.628,18.153214252487356,18.57421418379194,18.91215761591794,19.43749532747122
18:40:49.628,18.153214252487356,18.57421418379194,18.91215761591794,19.43749532747122
18:40:49.629,18.153214252487356,18.57421418379194,18.91215761591794,19.43749532747122
18:40:50.146,18.153214252487356,18.57421418379194,18.133707289848537,18.52791831788861
18:40:50.148,18.153214252487356,18.57421418379194,18.133707289848537,18.52791831788861
